[2026-02-25T00:00:00.000Z] [INFO] Access log initialized
[2026-02-25T13:01:05.756Z] GET / | Status: 304 | Duration: 24ms | IP: ::1 | User: anonymous
[2026-02-25T13:01:05.819Z] GET /vendor/fontawesome/css/all.min.css | Status: 304 | Duration: 3ms | IP: ::1 | User: anonymous
[2026-02-25T13:01:05.824Z] GET /media/logo.png | Status: 304 | Duration: 4ms | IP: ::1 | User: anonymous
[2026-02-25T13:01:05.826Z] GET /media/world.png | Status: 304 | Duration: 5ms | IP: ::1 | User: anonymous
[2026-02-25T13:01:05.827Z] GET /media/electrocardiogram-monitor.png | Status: 304 | Duration: 0ms | IP: ::1 | User: anonymous
[2026-02-25T13:01:05.829Z] GET /media/doctor-using-mobile-phone-contact-260nw-524089942.jpg | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:01:05.830Z] GET /media/medical-appointment.png | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:01:05.832Z] GET /media/health-report.png | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:01:05.847Z] GET /media/doctor-patient.png | Status: 404 | Duration: 11ms | IP: ::1 | User: anonymous
[2026-02-25T13:01:05.849Z] GET /media/whatsapp.png | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:01:05.898Z] GET /vendor/fontawesome/webfonts/fa-solid-900.woff2 | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:01:05.902Z] GET /vendor/fontawesome/webfonts/fa-brands-400.woff2 | Status: 304 | Duration: 2ms | IP: ::1 | User: anonymous
[2026-02-25T13:01:05.930Z] GET /media/logo.png | Status: 304 | Duration: 2ms | IP: ::1 | User: anonymous
[2026-02-25T13:01:07.365Z] GET /auth/login | Status: 302 | Duration: 7ms | IP: ::1 | User: anonymous
[2026-02-25T13:01:07.378Z] GET /patient/dashboard | Status: 304 | Duration: 9ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:01:07.399Z] GET /vendor/fontawesome/css/all.min.css | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:01:07.401Z] GET /media/logo.png | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:03:48.160Z] GET / | Status: 304 | Duration: 23ms | IP: ::1 | User: anonymous
[2026-02-25T13:03:48.239Z] GET /vendor/fontawesome/css/all.min.css | Status: 304 | Duration: 4ms | IP: ::1 | User: anonymous
[2026-02-25T13:03:48.242Z] GET /media/logo.png | Status: 304 | Duration: 5ms | IP: ::1 | User: anonymous
[2026-02-25T13:03:48.244Z] GET /media/world.png | Status: 304 | Duration: 4ms | IP: ::1 | User: anonymous
[2026-02-25T13:03:48.252Z] GET /media/doctor-using-mobile-phone-contact-260nw-524089942.jpg | Status: 304 | Duration: 2ms | IP: ::1 | User: anonymous
[2026-02-25T13:03:48.255Z] GET /media/electrocardiogram-monitor.png | Status: 304 | Duration: 2ms | IP: ::1 | User: anonymous
[2026-02-25T13:03:48.258Z] GET /media/medical-appointment.png | Status: 304 | Duration: 3ms | IP: ::1 | User: anonymous
[2026-02-25T13:03:48.260Z] GET /media/health-report.png | Status: 304 | Duration: 3ms | IP: ::1 | User: anonymous
[2026-02-25T13:03:48.274Z] GET /media/doctor-patient.png | Status: 404 | Duration: 12ms | IP: ::1 | User: anonymous
[2026-02-25T13:03:48.276Z] GET /media/whatsapp.png | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:03:48.282Z] GET /vendor/fontawesome/webfonts/fa-solid-900.woff2 | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:03:48.284Z] GET /vendor/fontawesome/webfonts/fa-brands-400.woff2 | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:03:50.283Z] GET /auth/login | Status: 302 | Duration: 6ms | IP: ::1 | User: anonymous
[2026-02-25T13:03:50.299Z] GET /patient/dashboard | Status: 200 | Duration: 10ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:03:50.321Z] GET /vendor/fontawesome/css/all.min.css | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:03:50.323Z] GET /media/logo.png | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:01.126Z] POST /patient/upload | Status: 302 | Duration: 14ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:04:01.235Z] GET /patient/upload?error=No%20file%20selected | Status: 200 | Duration: 105ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:04:01.249Z] GET /vendor/fontawesome/css/all.min.css | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:01.250Z] GET /site/css/main.css | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:01.252Z] GET /site/css/portal.css | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:01.254Z] GET /site/media/world.png | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:01.256Z] GET /site/media/logo.png | Status: 304 | Duration: 3ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:01.263Z] GET /site/js/global.js | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:01.283Z] GET /notifications/unread-count | Status: 304 | Duration: 4ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:04:01.306Z] GET /site/media/logo.png | Status: 304 | Duration: 0ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:27.272Z] GET /patient/appointments | Status: 200 | Duration: 9ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:04:27.304Z] GET /vendor/fontawesome/css/all.min.css | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:27.306Z] GET /site/css/main.css | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:27.310Z] GET /site/css/portal.css | Status: 304 | Duration: 2ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:27.314Z] GET /site/media/logo.png | Status: 304 | Duration: 2ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:27.315Z] GET /site/media/world.png | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
